Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET,Mt
146944,144394830,51.24,25.71,-0.24,44.32,25.71,1.31,-0.01,1,26.29,2.63,50.34
146944,144450046,61.69,-21.06,21.68,53.78,30.23,1.34,2.34,1,60.96,0.18,75.67
146944,143369359,69.23,29.09,21.83,58.91,36.37,1.26,0.64,1,35.74,-1.93,69.25
146944,143781992,55.44,-19.07,-32.10,40.97,37.34,0.95,-2.11,1,37.74,1.48,73.24
146944,146409841,44.08,-21.77,18.73,33.45,28.72,0.99,2.43,1,17.12,2.92,10.76
146944,147307129,46.97,-4.28,-41.94,-20.71,42.16,-0.47,-1.67,1,50.46,1.37,92.13
146944,147621545,109.02,14.82,-24.64,105.16,28.75,2.01,-1.03,-1,6.48,2.03,27.28
146944,146575242,81.52,35.06,-9.93,-72.92,36.44,-1.44,-0.28,1,28.97,-3.13,64.31
146944,146923034,59.77,-18.99,-21.60,52.39,28.76,1.36,-2.29,-1,0.89,2.69,6.14
146944,147313218,59.12,-11.89,56.54,12.56,57.77,0.22,1.78,-1,16.40,-1.34,61.56
146944,146265748,125.45,30.00,11.73,-121.24,32.21,-2.04,0.37,1,8.01,-1.71,27.74
146944,147111244,44.25,24.60,-7.32,36.04,25.66,1.14,-0.29,-1,13.69,0.25,10.05
146944,146429454,42.82,29.29,5.49,30.75,29.80,0.90,0.19,-1,22.23,-2.92,51.47
146944,146864222,28.76,-28.45,-3.03,-2.93,28.61,-0.10,-3.04,1,23.85,0.10,52.24
146944,156987554,44.43,34.28,-11.50,25.81,36.16,0.66,-0.32,1,40.69,2.69,76.57
146944,156900355,131.94,9.43,24.14,129.37,25.91,2.31,1.20,1,12.39,-2.67,33.48
146944,157504523,50.68,17.79,40.17,-25.26,43.94,-0.55,1.15,1,34.94,-1.38,74.81
146944,157942843,199.03,-44.70,13.32,193.49,46.65,2.13,2.85,-1,14.05,2.14,17.81
146944,157188356,104.80,-16.73,-29.59,99.14,33.99,1.79,-2.09,1,32.86,0.91,66.66
146944,156804478,26.66,-24.68,-9.88,-2.00,26.58,-0.08,-2.76,1,29.19,-0.05,54.44
146944,157637151,48.73,13.15,35.03,-31.22,37.42,-0.76,1.21,-1,36.64,-1.89,74.04
146944,570547121,43.91,11.76,36.76,20.96,38.59,0.52,1.26,1,36.37,-1.80,74.87
146944,570319458,57.37,28.03,-21.05,45.42,35.05,1.08,-0.64,-1,36.50,2.88,70.25
146944,570470066,29.73,27.98,-6.53,7.64,28.73,0.26,-0.23,-1,29.77,3.04,58.36
146944,570548122,44.40,-2.60,-36.16,25.63,36.25,0.66,-1.64,1,39.70,1.77,75.19
146944,571638374,75.57,-47.08,9.25,-58.38,47.98,-1.03,2.95,1,77.50,-1.88,80.97
146944,572179328,44.20,-36.42,25.05,-0.48,44.20,-0.01,2.54,1,2.91,-0.84,22.55
146944,572596552,43.33,-29.84,-17.41,-26.16,34.54,-0.70,-2.61,1,45.35,0.64,79.04
146944,572906546,83.15,24.35,11.49,78.67,26.93,1.79,0.44,1,13.17,-2.80,37.62
146944,571737851,101.99,-17.60,-22.47,97.91,28.54,1.95,-2.24,-1,10.82,-0.64,25.11
146944,572207564,33.63,-31.62,-11.41,-0.82,33.62,-0.02,-2.80,-1,33.40,0.31,67.01
146944,572007861,64.27,40.11,17.67,-47.01,43.83,-0.93,0.42,1,34.30,-2.59,77.36
146944,572380005,36.12,6.30,-35.20,-5.12,35.75,-0.14,-1.39,-1,37.19,1.68,72.88
146944,572750069,40.68,-25.19,18.45,26.07,31.23,0.76,2.51,-1,18.10,-0.03,45.44
146944,572160950,68.20,-1.99,33.89,-59.15,33.95,-1.32,1.63,-1,42.89,-1.20,75.36
146944,572323406,64.92,3.55,41.33,-49.93,41.49,-1.02,1.49,1,40.94,-1.80,82.20
146944,572318391,38.89,31.12,-20.01,-12.01,36.99,-0.32,-0.57,1,40.98,2.82,77.25
146944,573018155,129.56,-23.31,80.34,98.94,83.65,1.00,1.85,1,37.72,-1.32,112.32
146944,573165787,30.67,19.45,-20.16,12.49,28.01,0.43,-0.80,-1,41.31,3.03,64.01
146944,573569891,37.00,16.15,32.67,6.38,36.45,0.17,1.11,1,29.10,-1.89,64.99
146944,573625044,46.41,26.38,-8.61,37.21,27.75,1.10,-0.32,1,20.72,2.87,47.94
146944,573557685,58.36,-42.80,-15.97,-36.32,45.69,-0.73,-2.78,1,47.13,-0.26,88.36
146944,573278558,144.85,23.23,11.80,-142.49,26.05,-2.40,0.47,-1,10.52,-1.86,30.41
146944,574693528,91.59,-40.33,-10.95,81.50,41.79,1.42,-2.88,-1,38.80,-0.04,79.62
146944,574679289,53.41,-20.74,17.00,46.19,26.82,1.31,2.45,1,7.08,-0.43,27.33
146944,574984589,50.97,31.22,-23.17,-32.95,38.88,-0.77,-0.64,1,36.32,2.63,75.01
146944,575584653,138.94,24.09,8.98,136.54,25.71,2.37,0.36,-1,17.77,-2.17,40.77
146944,574648039,71.59,-16.27,-64.33,26.87,66.36,0.39,-1.82,-1,48.42,0.90,110.88
146944,576838488,148.34,-12.17,-31.58,-144.43,33.84,-2.16,-1.94,1,17.29,-1.88,1.32
146944,576782955,131.66,6.55,-27.22,128.65,28.00,2.23,-1.33,1,30.88,0.50,46.61
146944,576683926,192.76,41.73,-11.57,187.84,43.30,2.17,-0.27,-1,34.97,2.78,77.74
146944,576120295,35.90,-3.28,-30.53,-18.61,30.70,-0.57,-1.68,1,10.31,0.52,31.68
146944,577046543,151.07,-8.32,28.58,-148.11,29.77,-2.31,1.85,-1,43.61,-1.08,71.68
146944,577826544,66.93,37.09,-9.04,-54.98,38.18,-1.16,-0.24,-1,35.42,2.85,73.52
146944,577272474,190.59,-22.01,-24.47,-187.73,32.91,-2.44,-2.30,1,7.12,-1.18,16.30
146944,577220733,32.53,17.32,-20.31,18.59,26.69,0.65,-0.86,1,14.54,-1.17,5.97
146944,577492813,151.40,12.66,-23.74,148.99,26.91,2.41,-1.08,1,4.97,0.83,18.91
146944,577983502,69.26,29.10,-20.90,-59.27,35.83,-1.28,-0.62,-1,31.08,2.56,66.73
146944,577973967,103.64,3.30,37.24,96.66,37.39,1.68,1.48,1,51.81,-1.62,88.00
146944,586384137,52.21,9.57,38.86,-33.54,40.02,-0.76,1.33,-1,35.50,-2.00,75.04
146944,586469521,46.95,-25.28,-5.23,-39.22,25.82,-1.21,-2.94,1,53.64,-1.89,37.12
146944,586444979,91.30,-1.41,-25.92,-87.53,25.95,-1.93,-1.63,1,17.18,-0.39,24.46
146944,587197083,42.72,-29.74,-15.20,26.64,33.39,0.73,-2.67,-1,45.21,0.21,77.04
146944,586809628,222.80,20.21,-34.09,219.24,39.63,2.41,-1.04,1,14.51,-0.74,7.00
146944,586992381,179.85,-46.88,1.34,173.63,46.90,2.02,3.11,-1,9.42,2.39,14.88
146944,586915102,40.52,21.63,-20.94,27.12,30.10,0.81,-0.77,1,48.90,1.28,65.62
146944,587377168,144.96,4.62,27.54,-142.24,27.92,-2.33,1.40,-1,11.00,3.10,26.27
146944,587968710,97.10,-3.06,35.98,90.14,36.11,1.65,1.66,-1,34.39,-0.74,65.57
146944,588205238,182.88,-38.92,-10.97,-178.35,40.44,-2.19,-2.87,-1,10.68,0.52,41.24
146944,587926103,85.23,30.50,-15.38,78.09,34.16,1.56,-0.47,1,18.24,-0.52,1.31
146944,588518055,70.14,66.28,-9.04,-21.09,66.90,-0.31,-0.14,-1,23.81,2.59,78.11
146944,588360800,30.17,11.99,-26.42,-8.25,29.02,-0.28,-1.14,-1,7.16,-1.90,10.67
146944,593028393,101.56,31.76,12.35,95.68,34.07,1.76,0.37,1,28.59,-2.95,62.16
