Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET,Mt
146944,519031268,40.52,27.30,29.27,-6.32,40.03,-0.16,0.82,-1,33.09,-2.22,72.70
146944,519362924,141.89,-23.94,-27.54,-137.12,36.49,-2.03,-2.29,-1,32.24,1.19,67.64
146944,519521000,88.08,-40.61,0.68,78.16,40.62,1.41,3.12,-1,35.93,-0.12,76.30
146944,519549112,71.77,-19.01,-28.18,63.20,33.99,1.38,-2.16,1,27.94,0.95,61.63
146944,519798496,67.78,35.40,-15.04,-55.81,38.46,-1.17,-0.40,1,41.38,2.78,79.78
146944,519547657,42.15,-30.30,-8.82,-27.94,31.56,-0.80,-2.86,-1,42.90,0.48,73.23
146944,519758625,42.91,6.23,38.20,-18.54,38.70,-0.46,1.41,1,25.38,-1.37,61.65
146944,520321354,53.16,40.44,9.07,33.29,41.44,0.74,0.22,1,36.13,-2.79,77.21
146944,520638075,36.05,15.49,-32.55,0.27,36.05,0.01,-1.13,-1,45.34,2.02,80.86
146944,522131869,33.24,-22.75,14.15,-19.67,26.79,-0.68,2.59,-1,31.64,-0.30,57.75
146944,522343989,97.78,17.44,-42.99,86.07,46.40,1.38,-1.19,-1,34.69,2.06,80.13
146944,522712621,88.68,1.13,39.11,-79.58,39.13,-1.46,1.54,1,27.92,-1.77,65.85
146944,523462792,134.06,64.14,0.96,-117.72,64.14,-1.37,0.02,1,28.09,2.32,77.55
146944,524018768,91.82,20.23,19.39,-87.44,28.02,-1.86,0.76,-1,28.73,-2.12,56.29
146944,523132497,144.21,-23.33,-28.18,-139.49,36.59,-2.05,-2.26,1,40.75,1.23,76.06
146944,523756893,49.23,-48.68,-0.01,7.36,48.68,0.15,-3.14,1,41.11,0.10,89.34
146944,524554363,99.38,5.97,-30.11,94.52,30.69,1.84,-1.37,1,26.43,1.60,56.77
146944,524162525,34.92,-32.73,-4.89,-11.14,33.09,-0.33,-2.99,-1,33.17,0.15,66.26
146944,526047678,43.16,-14.01,-28.52,29.20,31.77,0.82,-2.03,1,44.93,0.09,65.89
146944,526087240,77.02,-36.34,31.25,-60.28,47.93,-1.05,2.43,-1,28.31,-0.46,73.07
146944,526999279,27.21,-4.58,-26.59,3.56,26.98,0.13,-1.74,1,20.25,1.29,46.68
146944,527653007,59.96,19.10,-19.36,53.44,27.20,1.43,-0.79,1,49.11,2.49,72.90
146944,527940250,216.26,26.95,-47.88,209.16,54.94,2.05,-1.06,1,23.64,1.76,71.10
146944,528823638,39.66,32.08,23.26,1.66,39.63,0.04,0.63,1,41.40,-2.38,80.82
146944,529093951,76.61,27.56,10.99,70.63,29.67,1.60,0.38,1,31.84,-3.12,60.51
146944,528548968,64.14,-21.12,38.98,-46.34,44.34,-0.91,2.07,1,55.78,-1.14,99.41
146944,528505050,44.71,-19.32,18.61,35.76,26.83,1.10,2.37,1,60.21,-0.64,80.23
146944,528724370,189.03,29.07,38.84,182.70,48.51,2.04,0.93,1,67.64,2.41,77.41
146944,528255603,51.01,-9.98,29.15,-40.65,30.81,-1.09,1.90,1,37.52,-1.37,67.85
146944,528540707,69.54,36.13,-20.48,55.78,41.53,1.10,-0.52,-1,43.37,2.54,84.80
146944,528584211,47.11,-29.13,-31.95,18.71,43.24,0.42,-2.31,1,31.34,1.40,70.68
146944,529981454,81.47,-24.36,24.85,-73.67,34.80,-1.49,2.35,-1,26.71,-0.68,60.87
146944,530445903,78.28,1.61,-26.32,-73.71,26.37,-1.75,-1.51,-1,24.54,1.25,49.94
146944,530392619,176.35,4.09,-57.38,166.71,57.53,1.79,-1.50,-1,29.34,2.23,78.69
146944,531617631,117.63,15.53,-27.31,-113.35,31.42,-1.99,-1.05,1,28.42,1.97,59.67
146944,532175228,48.45,33.42,-28.43,-20.55,43.87,-0.45,-0.71,1,39.40,-2.85,72.98
146944,531760565,67.33,42.47,9.91,51.31,43.61,1.00,0.23,1,33.86,-3.01,76.75
146944,532602006,39.60,20.72,18.66,28.13,27.88,0.89,0.73,1,36.38,-2.44,63.69
146944,532882360,84.26,-31.80,9.05,-77.50,33.07,-1.59,2.86,1,40.05,-0.56,72.05
146944,533534776,79.24,49.93,-60.67,10.25,78.58,0.13,-0.88,-1,20.52,2.30,80.29
146944,532760154,51.59,-13.64,35.00,35.37,37.56,0.84,1.94,-1,42.53,-1.48,79.18
146944,534929974,37.23,-32.37,4.00,17.94,32.62,0.53,3.02,1,22.55,-1.04,48.66
146944,533749896,43.24,10.41,-30.61,28.71,32.33,0.80,-1.24,1,34.65,1.86,66.93
146944,534267856,66.08,47.82,5.07,45.33,48.08,0.84,0.11,1,43.57,-2.55,88.85
146944,534064769,105.43,38.86,97.98,-2.59,105.40,-0.02,1.19,1,22.59,-0.56,75.05
146944,534184019,37.01,-24.96,25.69,9.33,35.82,0.26,2.34,-1,27.77,-0.69,62.98
146944,349421637,55.47,19.11,-36.16,37.48,40.90,0.82,-1.08,-1,34.38,1.57,72.78
146944,349055743,27.63,11.68,24.48,5.28,27.12,0.19,1.13,1,31.69,-1.91,58.56
146944,349284943,55.81,17.64,-27.51,45.24,32.68,1.13,-1.00,1,36.99,2.14,69.54
146944,349736889,115.40,-11.14,43.65,-106.25,45.04,-1.59,1.82,1,36.86,-0.84,79.15
146944,350358926,43.51,39.00,1.60,-19.23,39.03,-0.47,0.04,-1,39.86,3.13,78.85
146944,350701055,57.43,-31.94,-17.23,-44.50,36.30,-1.03,-2.65,1,40.13,0.45,76.31
146944,350360441,58.88,1.21,-31.56,49.69,31.58,1.23,-1.53,1,29.46,1.93,60.21
146944,351559035,34.25,-2.77,-28.90,-18.18,29.03,-0.59,-1.67,1,29.51,1.34,58.41
146944,355536729,136.03,32.15,15.28,131.29,35.60,2.02,0.44,1,28.41,-2.08,60.57
146944,354744930,77.15,21.92,-35.77,64.75,41.95,1.22,-1.02,-1,48.04,2.90,83.09
146944,354806893,32.36,8.34,29.23,11.10,30.39,0.36,1.29,1,31.76,-1.75,62.06
146944,354649310,65.45,24.86,-22.54,56.20,33.56,1.29,-0.74,-1,33.84,2.27,67.24
146944,354610792,54.63,25.08,-31.66,-36.78,40.39,-0.82,-0.90,1,40.69,2.64,79.46
146944,357314492,50.83,-13.79,-40.02,28.15,42.33,0.62,-1.90,1,37.17,1.41,79.05
146944,356238933,34.52,-5.06,24.67,23.61,25.18,0.84,1.77,-1,30.36,-1.38,55.30
146944,356039983,72.12,22.80,-20.77,-65.20,30.84,-1.49,-0.74,-1,24.74,2.42,55.24
146944,358073937,50.36,-32.45,4.04,-38.29,32.70,-1.00,3.02,1,29.67,-0.28,62.11
146944,358809850,29.67,3.70,-29.36,2.12,29.59,0.07,-1.45,1,89.68,-3.04,73.81
146944,358784685,37.45,34.00,10.68,11.50,35.64,0.32,0.30,-1,45.62,-2.95,80.51
146944,358604438,109.30,29.03,15.06,-104.30,32.70,-1.88,0.48,-1,29.42,-2.69,62.03
146944,358391848,39.93,-32.79,-22.46,3.83,39.75,0.10,-2.54,1,36.83,0.65,76.50
146944,359151111,44.81,18.21,35.40,-20.57,39.81,-0.50,1.10,1,46.59,-1.85,85.71
146944,359354879,69.25,-31.48,18.44,-58.86,36.48,-1.26,2.61,1,35.21,-0.51,71.67
146944,359713671,58.79,-18.24,-35.16,-43.44,39.61,-0.95,-2.05,1,37.25,1.14,76.81
146944,359824344,59.67,-39.13,0.31,45.04,39.13,0.98,3.13,-1,46.73,0.11,85.38
146944,361408578,35.64,-29.30,4.05,19.89,29.57,0.63,3.00,1,53.63,-0.19,79.63
146944,360495787,137.13,-11.05,32.00,-132.88,33.86,-2.08,1.90,1,37.82,-0.88,70.45
146944,360781459,43.67,-27.47,25.75,-22.13,37.65,-0.56,2.39,-1,40.39,-0.83,77.93
146944,361175333,44.92,7.63,-40.23,18.47,40.95,0.44,-1.38,1,34.49,1.74,75.16
146944,361402343,76.33,23.56,29.04,-66.54,37.39,-1.34,0.89,1,42.98,-2.32,80.13
146944,361434607,65.90,-10.48,-39.97,51.34,41.32,1.04,-1.83,1,21.16,0.95,58.15
146944,360800104,31.96,-5.96,25.71,18.02,26.39,0.64,1.80,1,40.25,-1.30,65.17
146944,362939364,97.03,17.79,-37.61,-87.65,41.60,-1.49,-1.13,1,37.76,2.02,79.27
146944,362017485,88.84,-32.55,-27.26,78.04,42.46,1.37,-2.44,1,43.01,0.61,85.40
146944,362818021,70.90,-5.35,37.23,60.11,37.61,1.25,1.71,1,39.34,-1.27,76.67
146944,362369631,74.96,28.45,-13.16,68.10,31.34,1.52,-0.43,1,34.52,2.98,65.17
146944,362866071,40.73,-39.18,-0.44,-11.10,39.19,-0.28,-3.13,1,37.54,-0.10,76.59
146944,361903872,63.82,11.24,-33.18,53.35,35.03,1.21,-1.24,1,48.40,1.74,82.10
146944,364136401,80.25,-51.18,60.51,12.60,79.25,0.16,2.27,1,7.48,-3.00,23.56
146944,364484273,83.58,16.28,-36.81,73.25,40.25,1.36,-1.15,-1,34.52,2.27,73.80
146944,363473838,82.78,13.66,-26.68,77.17,29.98,1.67,-1.10,1,26.18,1.91,55.90
146944,363706271,33.59,23.65,-20.94,-11.42,31.59,-0.35,-0.72,1,33.82,1.95,63.63
146944,365775026,39.17,28.63,-16.47,-21.06,33.03,-0.60,-0.52,-1,38.04,2.41,70.50
146944,366263393,50.36,2.27,33.12,37.86,33.20,0.98,1.50,-1,23.48,-1.40,55.44
146944,368028537,46.80,-28.10,30.66,21.48,41.59,0.50,2.31,-1,53.12,-2.85,50.13
146944,367772578,75.06,25.22,31.53,63.28,40.37,1.23,0.90,1,22.96,-2.05,60.59
146944,368287091,141.28,18.32,38.00,-134.83,42.19,-1.88,1.12,-1,40.40,-1.88,82.35
146944,368295260,51.95,-50.49,6.72,10.21,50.94,0.20,3.01,-1,41.93,-0.78,87.65
146944,368329726,57.52,-7.68,-32.32,-46.95,33.22,-1.15,-1.80,-1,22.30,1.24,54.37
146944,368511246,281.61,-58.84,58.44,269.12,82.93,1.89,2.36,-1,17.37,-0.88,75.83
146944,369690018,103.02,-12.43,33.36,96.67,35.60,1.72,1.93,-1,32.47,-0.96,67.44
146944,369245501,79.98,-38.54,-2.02,70.06,38.59,1.36,-3.09,-1,24.10,0.42,59.99
146944,370146086,46.68,1.76,25.95,-38.76,26.01,-1.19,1.50,1,71.94,-0.86,79.96
146944,369475191,40.78,17.21,36.85,-3.01,40.67,-0.07,1.13,-1,26.97,-1.97,66.23
146944,296746574,30.73,26.24,14.01,7.69,29.75,0.26,0.49,1,39.80,-1.59,59.30
146944,297163871,132.79,-31.77,18.76,-127.56,36.90,-1.95,2.61,1,46.34,-0.79,82.02
146944,296720520,69.27,-25.60,37.21,-52.51,45.17,-0.99,2.17,1,50.07,-1.05,95.04
146944,297229104,58.84,-29.09,14.05,-49.17,32.31,-1.21,2.69,1,24.78,-0.43,56.58
146944,297884847,31.97,28.18,4.35,-14.45,28.51,-0.49,0.15,1,36.23,2.90,63.02
146944,299799384,27.41,-21.00,16.38,-6.49,26.63,-0.24,2.48,1,34.24,-1.02,59.43
146944,300191776,68.30,29.34,-7.60,-61.21,30.31,-1.45,-0.25,-1,50.63,-2.38,68.42
146944,299780937,111.62,-40.25,-37.96,96.95,55.32,1.33,-2.39,1,35.20,0.77,88.26
146944,299702460,146.90,8.09,38.29,-141.59,39.14,-2.00,1.36,1,34.42,-1.68,73.33
146944,300615229,96.07,-30.61,2.02,91.04,30.68,1.81,3.08,1,32.63,-0.72,59.97
146944,301060605,41.34,23.74,-29.13,-17.22,37.58,-0.44,-0.89,1,33.74,2.22,71.20
146944,300807166,49.80,2.05,-43.15,-24.76,43.20,-0.55,-1.52,1,48.91,2.27,87.09
146944,301372518,54.02,-5.85,-43.99,-30.80,44.38,-0.65,-1.70,1,32.71,0.95,73.97
146944,301537518,40.37,3.12,-33.84,21.78,33.99,0.60,-1.48,1,28.39,1.55,62.03
146944,301525927,71.12,-25.13,34.61,56.82,42.77,1.10,2.20,-1,42.13,-1.15,84.47
146944,300708464,71.76,-14.98,-22.30,-66.54,26.87,-1.64,-2.16,-1,34.22,1.31,59.80
146944,300775891,82.31,-41.22,-7.90,70.80,41.97,1.29,-2.95,1,34.98,-0.17,75.43
146944,302659687,49.80,21.67,-32.38,31.01,38.96,0.73,-0.98,1,38.29,2.29,77.09
146944,301708152,35.10,-20.06,-23.23,-17.03,30.69,-0.53,-2.28,-1,25.43,0.89,55.87
146944,302290529,75.77,11.29,27.06,-69.86,29.32,-1.60,1.18,1,35.88,-1.94,64.87
146944,301781907,146.88,36.37,-14.56,141.56,39.18,2.00,-0.38,1,23.65,3.04,60.29
146944,302082323,98.77,-24.45,-22.95,-92.91,33.54,-1.74,-2.39,1,32.43,0.29,64.16
146944,302447931,56.42,27.33,-33.14,-36.58,42.96,-0.77,-0.88,-1,39.53,2.53,81.65
146944,304322661,113.55,-31.11,22.23,-106.92,38.24,-1.75,2.52,-1,44.39,-0.81,82.02
146944,304388654,158.55,12.77,36.36,153.79,38.54,2.09,1.23,1,32.66,-2.34,69.35
146944,304530423,35.33,34.28,2.66,-8.15,34.38,-0.23,0.08,-1,25.19,2.98,58.43
146944,303208176,128.80,-26.39,44.92,-117.79,52.10,-1.55,2.10,1,47.47,0.08,84.41
146944,409685002,102.01,-17.04,37.24,93.42,40.95,1.56,2.00,-1,49.34,-0.95,89.49
146944,409273253,59.30,-49.56,-13.47,29.64,51.36,0.55,-2.88,1,31.87,-0.63,72.90
146944,410891509,146.73,-25.60,-29.64,141.41,39.17,2.00,-2.28,1,31.95,0.92,70.72
146944,417859702,112.45,33.23,-21.30,105.29,39.47,1.71,-0.57,-1,30.28,2.78,68.78
146944,416705193,87.98,-17.72,24.47,82.63,30.21,1.73,2.20,1,35.12,-0.82,65.02
146944,416828881,54.39,19.17,-35.28,-36.69,40.15,-0.82,-1.07,1,32.64,2.38,71.54
146944,417688122,74.16,-12.26,30.17,66.62,32.56,1.46,1.96,-1,43.11,-1.27,74.87
146944,418720803,51.32,-27.14,28.90,32.59,39.65,0.75,2.32,-1,52.72,-0.70,91.27
146944,419283558,156.03,40.10,30.22,-147.73,50.22,-1.80,0.65,-1,51.38,-1.37,85.95
146944,419326631,43.82,-24.30,26.21,25.35,35.74,0.66,2.32,1,37.18,-1.28,71.04
