Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GSF-GSF,140401,91126796,117.80683544,-33.3892908139,25.4841297772,-110.064366916,42.0034,-1.69103,2.48967,-1,192.264324053,32.3451638099,-31.6844721173,-186.856776457,45.2782,-2.12503,-0.77508,1,89.1202789547
GSF-GSF,141956,136109945,329.052724727,47.184067949,27.4211545954,-324.495669713,54.5734,-2.48287,0.526446,-1,113.528858,-14.8166669506,-32.0685618087,-107.892888193,35.326,-1.83545,-2.00361,1,88.5965310855
GSF-GSF,141956,78468893,114.958042843,19.5512239344,-34.756359514,-107.819741838,39.878,-1.72035,-1.05839,1,185.363550452,-26.1496130411,36.9533831988,-179.750635726,45.2698,-2.08757,2.18663,-1,86.3016320534
GSF-GSF,141956,192779968,80.5505255105,17.2057984368,-20.324503549,-76.0214589139,26.6294,-1.7715,-0.868306,1,35.3152466022,-25.614445449,24.1603341771,-2.71018063984,35.2111,-0.0768937,2.3854,-1,84.5031782791
GSF-GSF,141956,179110337,145.570563697,-26.3863096585,25.9526448142,140.787115549,37.0105,2.04604,2.36448,-1,375.168526967,66.1360972615,-7.67548298289,369.213389826,66.58,2.41415,-0.115539,1,95.6795945047
GSF-GSF,141956,293797516,44.7226992259,-8.46112524603,-40.4657802641,17.060182091,41.3409,0.401774,-1.77692,1,54.892102805,-31.2924286283,41.7586731148,-17.0334987696,52.1824,-0.320887,2.21389,-1,91.3295760096
GSF-GSF,141956,152264671,42.4668008809,-27.1838579156,-32.5937531505,-1.45406367958,42.4419,-0.0342534,-2.26594,1,51.4306583333,26.0058798124,28.0403193176,-34.3881858214,38.2435,-0.808265,0.823023,-1,86.6599365653
GSF-GSF,141956,181120746,60.5778956751,19.0082907023,30.4094075383,48.8224770153,35.8615,1.11535,1.01214,1,36.5516254459,-17.0107094663,-23.9279239038,-21.7741025897,29.3583,-0.686468,-2.18881,-1,93.0404715875
GSF-GSF,141956,73817338,182.392417718,-32.9464621219,-12.1210454504,178.982135789,35.1054,2.33156,-2.78906,1,261.886409179,44.297316849,13.7507827497,257.746299695,46.3825,2.4162,0.300989,-1,80.7493140682
GSF-GSF,141957,53157285,174.443524639,15.4737805164,-32.1047456487,170.764137662,35.6392,2.2707,-1.12167,-1,33.9768270469,-12.9163082099,26.1241607342,17.4677412413,29.1428,0.568297,2.02997,1,89.2496201714
