Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GT,148031,10507008,82.2018663875,-41.1952876442,17.4332438965,-68.9649618071,44.7322,-1.21769,2.74126,1,60.6218745939,34.1444372454,-16.1195245722,-47.4269843902,38.8311,-1.05139,-0.440873,-1,82.4626915551
TT,148031,10507008,62.3449289481,35.1180497674,-16.5703623299,-48.7752465359,38.8311,-1.05139,-0.440873,-1,82.2018663875,-41.1952876442,17.4332438965,-68.9649618071,44.7322,-1.21769,2.74126,1,83.6262040052
GT,148031,10507008,62.3449289481,35.1180497674,-16.5703623299,-48.7752465359,38.8311,-1.05139,-0.440873,-1,81.5827783316,-40.8833234379,17.2992970366,-68.447255192,44.7322,-1.21769,2.74126,1,83.3084646667
GG,148031,10507008,60.6218745939,34.1444372454,-16.1195245722,-47.4269843902,38.8311,-1.05139,-0.440873,-1,81.5827783316,-40.8833234379,17.2992970366,-68.447255192,44.7322,-1.21769,2.74126,1,82.1493728809
GT,148031,105238546,41.826388912,22.7835819537,15.0364442927,-31.6898940061,27.2981,-0.990688,0.583351,1,49.7607256565,-20.1773731496,-9.35414928366,44.5139546449,21.8913,1.44434,-2.70765,-1,90.4691230355
TT,148031,105238546,48.9814069538,-19.8623073126,-9.20422532909,43.8170976651,21.8913,1.44434,-2.70765,-1,41.826388912,22.7835819537,15.0364442927,-31.6898940061,27.2981,-0.990688,0.583351,1,89.7576631707
GT,148031,105238546,48.9814069538,-19.8623073126,-9.20422532909,43.8170976651,21.8913,1.44434,-2.70765,-1,41.8412988077,22.790561218,15.0407559338,-31.7025094043,27.2981,-0.990688,0.583351,1,89.7739431721
GG,148031,105238546,49.7607256565,-20.1773731496,-9.35414928366,44.5139546449,21.8913,1.44434,-2.70765,-1,41.8412988077,22.790561218,15.0407559338,-31.7025094043,27.2981,-0.990688,0.583351,1,90.4855320463
GT,148031,105485643,132.780754916,71.1437106445,29.5423080462,-108.15055332,77.0336,-1.14027,0.393582,1,87.7956592939,50.8709372248,-51.6697284126,-49.5020559048,72.7634,-0.637934,-0.793162,-1,91.7737014813
TT,148031,105485643,88.078330193,51.0504859191,-51.849399871,-49.631327872,72.7634,-0.637934,-0.793162,-1,132.780754916,71.1437106445,29.5423080462,-108.15055332,77.0336,-1.14027,0.393582,1,91.9488195857
GT,148031,105485643,88.078330193,51.0504859191,-51.849399871,-49.631327872,72.7634,-0.637934,-0.793162,-1,132.069027861,70.7692145959,29.3886245836,-107.565068526,77.0336,-1.14027,0.393582,1,91.7040149476
GG,148031,105485643,87.7956592939,50.8709372248,-51.6697284126,-49.5020559048,72.7634,-0.637934,-0.793162,-1,132.069027861,70.7692145959,29.3886245836,-107.565068526,77.0336,-1.14027,0.393582,1,91.5293666421
GT,148031,105588474,48.6191442652,44.4069877251,-3.13200262947,19.5453325913,44.5173,0.426044,-0.0704129,-1,46.5199128151,-39.3064848043,10.8078645632,-22.4116362755,40.6637,-0.525298,2.87329,1,94.6482461478
TT,148031,105588474,46.4043511557,-39.2088440426,10.7797516915,-22.3565682697,40.6637,-0.525298,2.87329,1,48.6191442652,44.4069877251,-3.13200262947,19.5453325913,44.5173,0.426044,-0.0704129,-1,94.5306980431
GT,148031,105588474,46.4043511557,-39.2088440426,10.7797516915,-22.3565682697,40.6637,-0.525298,2.87329,1,48.6799479226,44.4608118539,-3.13497667102,19.5738166084,44.5173,0.426044,-0.0704129,-1,94.5899279702
GG,148031,105588474,46.5199128151,-39.3064848043,10.8078645632,-22.4116362755,40.6637,-0.525298,2.87329,1,48.6799479226,44.4608118539,-3.13497667102,19.5738166084,44.5173,0.426044,-0.0704129,-1,94.7075496889
GT,148031,108764385,57.3681501597,27.2497877516,3.08356760612,-50.3888297876,27.4237,-1.36847,0.11268,-1,81.3114495114,-42.2425531093,-5.07655090178,-69.2916733505,42.3231,-1.26419,-3.02195,1,68.4094550342
TT,148031,108764385,80.8941568008,-42.0205470216,-5.05157615153,-68.9391662788,42.3231,-1.26419,-3.02195,1,57.3681501597,27.2497877516,3.08356760612,-50.3888297876,27.4237,-1.36847,0.11268,-1,68.2293667989
GT,148031,108764385,80.8941568008,-42.0205470216,-5.05157615153,-68.9391662788,42.3231,-1.26419,-3.02195,1,57.5732428903,27.3497284232,3.09595712766,-50.5675245376,27.4237,-1.36847,0.11268,-1,68.354328782
GG,148031,108764385,81.3114495114,-42.2425531093,-5.07655090178,-69.2916733505,42.3231,-1.26419,-3.02195,1,57.5732428903,27.3497284232,3.09595712766,-50.5675245376,27.4237,-1.36847,0.11268,-1,68.5347465621
GT,148031,110875387,79.4877939491,-27.243260208,-23.4051222062,70.9105299018,35.9165,1.43209,-2.43183,1,50.5921105454,33.7282720644,29.7014821038,23.2330822349,44.8701,0.496169,0.721981,-1,89.3088031518
TT,148031,110875387,50.5075965068,33.6749209282,29.6534243299,23.1879336551,44.8701,0.496169,0.721981,-1,79.4877939491,-27.243260208,-23.4051222062,70.9105299018,35.9165,1.43209,-2.43183,1,89.2405353915
GT,148031,110875387,50.5075965068,33.6749209282,29.6534243299,23.1879336551,44.8701,0.496169,0.721981,-1,79.6004953126,-27.2865025166,-23.4417981104,71.0081444067,35.9165,1.43209,-2.43183,1,89.30743667
GG,148031,110875387,50.5921105454,33.7282720644,29.7014821038,23.2330822349,44.8701,0.496169,0.721981,-1,79.6004953126,-27.2865025166,-23.4417981104,71.0081444067,35.9165,1.43209,-2.43183,1,89.3757561231
GT,148031,11103650,41.4709094351,-2.95152312409,-36.0931203446,-20.2089173565,36.2136,-0.53252,-1.65239,-1,55.5429067652,4.00746638501,40.319935009,37.9900826833,40.41,0.836524,1.47174,1,95.2708229995
TT,148031,11103650,55.3929775505,3.99632325215,40.2119074462,37.8867087278,40.41,0.836524,1.47174,1,41.4709094351,-2.95152312409,-36.0931203446,-20.2089173565,36.2136,-0.53252,-1.65239,-1,95.1422738834
GT,148031,11103650,55.3929775505,3.99632325215,40.2119074462,37.8867087278,40.41,0.836524,1.47174,1,41.3899890377,-2.94596620156,-36.0207324209,-20.1729558531,36.2136,-0.53252,-1.65239,-1,95.0499678206
GG,148031,11103650,55.5429067652,4.00746638501,40.319935009,37.9900826833,40.41,0.836524,1.47174,1,41.3899890377,-2.94596620156,-36.0207324209,-20.1729558531,36.2136,-0.53252,-1.65239,-1,95.178392268
GT,148031,115564751,112.883980897,-2.41967842135,-45.4366169222,-103.307506883,45.501,-1.55843,-1.624,1,31.4233992647,-5.91249753268,30.1024503103,-6.80468337956,30.6742,-0.220038,1.76473,-1,91.6262173332
