Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
147390,543767492,24.521,3.89773,-16.1627,-18.0237,16.626,-0.939585,-1.33416,-1,9.36334,4.20606,-5.50359,-6.30014,6.92679,-0.815936,-0.918244,-1,4.62593
147390,551904480,42.8325,-16.4724,4.63309,-39.266,17.1116,-1.56816,2.86741,1,10.488,-3.39472,-0.164604,-9.92201,3.39871,-1.79263,-3.09314,-1,2.9906
147390,286521299,78.6993,20.7346,-22.7603,72.4267,30.7889,1.59096,-0.831937,-1,19.1186,5.52052,-3.86481,17.8916,6.73891,1.70329,-0.61078,-1,3.56757
147390,348830108,35.7096,-12.6783,10.2126,-31.7827,16.2799,-1.42208,2.4635,1,15.7418,-4.55461,2.89711,-14.7873,5.39793,-1.73266,2.57506,-1,3.10446
147390,348839604,12.8308,-9.97245,-5.51779,-5.89352,11.3972,-0.496456,-2.63622,-1,20.4744,-18.0386,-2.92818,-9.23231,18.2747,-0.485855,-2.98067,1,4.94889
147390,349394529,7.56567,4.40404,-1.89451,-5.85275,4.79423,-1.02921,-0.406246,-1,25.703,12.1542,-14.3821,-17.495,18.8301,-0.830341,-0.869159,-1,4.7523
147390,355531024,16.3413,-2.45327,-14.7782,6.52859,14.9805,0.423073,-1.7353,1,3.91419,-1.22357,-2.7413,2.51178,3.00198,0.761078,-1.99061,-1,2.84645
147390,5827229,17.0766,-10.7266,9.22474,-9.56319,14.1476,-0.632858,2.43133,1,4.27527,-1.30961,3.08742,-2.65155,3.35369,-0.725339,1.97197,1,3.20048
147390,580193569,16.2956,12.8777,2.01408,9.78035,13.0342,0.693436,0.155144,1,9.32174,5.98146,0.44411,7.1358,5.99792,1.00937,0.0741117,-1,2.89509
147390,581544153,3.27426,-1.11654,2.78561,-1.30939,3.00104,-0.423535,1.95201,-1,13.5454,0.0875623,13.4471,-1.62656,13.4474,-0.120665,1.56428,1,3.11793
147390,185743096,28.9324,4.98171,5.32643,-27.9981,7.29303,-2.05491,0.818828,-1,25.6958,4.19905,8.2064,-23.9853,9.21829,-1.68443,1.09785,1,3.81231
147390,193563899,30.0371,4.47748,-13.8068,26.2974,14.5146,1.35615,-1.2572,-1,8.4928,1.14297,-2.88437,7.9058,3.10258,1.66496,-1.19352,1,2.12402
147390,201939228,6.60423,-3.85963,1.31527,-5.1951,4.07758,-1.06254,2.81316,-1,24.6309,-8.21308,9.61872,-21.1354,12.6481,-1.28604,2.27753,-1,4.1271
