Run,Event,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
147390,543793293,15.4182,13.0387,8.10278,-1.43475,15.3513,-0.0933256,0.556035,-1,7.55452,3.35918,0.707777,-6.72947,3.43293,-1.42572,0.207662,1,10.704
147390,282663703,14.166,3.09286,-1.91438,13.6911,3.6374,2.03582,-0.55425,-1,69.1633,12.4187,11.6654,67.0318,17.0383,2.07862,0.75413,-1,9.58692
147390,286624093,13.9945,8.65686,9.48207,-5.56734,12.8394,-0.42106,0.830861,1,3.79763,0.102288,-3.0218,-2.29788,3.02353,-0.701127,-1.53696,-1,11.6722
147390,289483709,6.4095,1.78811,3.10841,-5.31246,3.58602,-1.18442,1.04877,-1,27.6498,18.1708,-7.72189,-19.3574,19.7435,-0.867477,-0.401839,-1,11.4802
147390,133045648,4.79558,2.84168,-3.71841,1.04684,4.67993,0.221862,-0.918257,1,24.599,10.8344,-2.43884,21.9494,11.1055,1.43305,-0.221411,1,10.5007
147390,164234567,9.43338,4.66785,-0.419089,-8.18683,4.68662,-1.32433,-0.089542,-1,69.7498,10.4696,15.6686,-67.1559,18.8446,-1.98307,0.981739,-1,11.4785
147390,352453816,20.2652,-10.4098,-6.99215,-15.9193,12.5401,-1.0597,-2.55012,1,7.42773,2.34042,-3.42257,-6.16276,4.14627,-1.18716,-0.971011,-1,10.281
147390,352470362,40.0113,-3.05137,-22.5056,-32.9407,22.7115,-1.16693,-1.70556,-1,11.5263,1.85053,-3.21973,-10.9116,3.71364,-1.79874,-1.04915,1,8.35805
147390,354679944,4.74997,-3.9416,2.20496,-1.4711,4.51643,-0.320221,2.63156,-1,18.0754,-1.27619,-4.18029,-17.539,4.37076,-2.09782,-1.8671,-1,11.3352
147390,577367175,10.2886,-0.467384,5.11734,-8.91348,5.13864,-1.31823,1.66188,1,35.0135,-17.157,21.5833,-21.5811,27.5717,-0.719121,2.24243,-1,9.94083
147390,196780562,22.7972,4.73212,13.462,17.779,14.2695,1.04506,1.23277,1,24.4223,-5.37348,16.0086,17.6436,16.8864,0.912727,1.89464,-1,10.2949
147390,196465859,16.5392,-9.75366,-7.77941,-10.8578,12.4761,-0.78662,-2.46832,-1,17.6694,-5.54152,-1.8978,-16.6703,5.85748,-1.76858,-2.81164,1,9.21101
147390,103924312,7.0555,6.93338,-1.22202,-0.463629,7.04025,-0.0658065,-0.17446,-1,21.4519,9.91309,-18.3354,5.07228,20.8436,0.24101,-1.07516,1,11.1864
147390,103975641,18.9558,-12.3404,11.3915,-8.79043,16.7944,-0.502055,2.39616,-1,6.47002,-6.18448,-1.04785,-1.58602,6.27262,-0.250228,-2.97375,1,9.41495
147390,103513055,16.372,11.2215,-7.07367,9.59598,13.2649,0.671738,-0.56245,1,5.59427,5.44453,0.360559,-1.23407,5.45646,-0.224281,0.0661275,-1,9.47481
147390,567657574,47.9491,-19.0708,1.71906,43.9598,19.1481,1.56859,3.05169,1,14.9689,-1.52857,3.35763,14.5071,3.6892,2.07817,1.99801,1,9.49632
147390,568245113,28.0228,-17.395,-6.32368,21.0405,18.5088,0.974867,-2.79291,1,5.57421,-4.05903,-3.68993,0.99021,5.48556,0.179546,-2.40379,-1,9.10271
147390,569599726,9.4653,-8.5892,-3.80976,-1.14157,9.3962,-0.121195,-2.72411,1,30.0962,-28.0374,3.61894,10.3241,28.27,0.357531,3.01323,1,11.8003
147390,569212204,10.4857,1.21836,2.80759,-10.0291,3.06055,-1.90255,1.16137,1,40.5432,17.3347,-7.24252,-35.9278,18.7868,-1.40376,-0.395761,1,11.315
147390,570126431,7.73718,7.60519,0.753518,1.20715,7.64243,0.157304,0.0987571,-1,20.1818,15.9538,-3.91426,-11.7244,16.427,-0.663877,-0.240597,1,10.1903
147390,572698597,6.24568,-3.67731,1.37859,4.85649,3.92722,1.03921,2.78292,1,15.9799,4.16273,-4.44517,14.774,6.08998,1.61937,-0.818197,-1,9.94904
147390,144488051,24.3429,9.49497,9.95383,20.0834,13.7562,1.17234,0.808987,-1,7.00906,2.90628,-3.02797,5.61354,4.19703,1.10111,-0.805901,-1,10.9933
147390,144515246,14.8571,0.393718,-3.67099,14.3911,3.69204,2.06964,-1.46395,-1,66.7047,-17.4789,-0.901726,64.3676,17.5022,2.01342,-3.09005,-1,11.687
147390,145378086,14.0176,-11.1783,-6.21677,5.73486,12.7907,0.434554,-2.63404,-1,11.1347,-2.07821,-3.13481,10.4803,3.76112,1.74867,-2.15622,1,10.3208
147390,147484398,39.1425,14.3228,8.72908,35.3666,16.7732,1.49114,0.547342,-1,17.5993,4.12025,-2.83625,16.8735,5.00208,1.93032,-0.602876,1,10.758
147390,152503670,24.8563,-6.50878,10.0551,21.7799,11.9779,1.35932,2.14528,1,16.6813,-3.56008,-2.32098,16.1309,4.24984,2.04392,-2.56385,-1,11.2669
147390,153688975,23.9242,7.03147,2.47848,-22.7329,7.4555,-1.83387,0.338886,1,24.5356,11.6329,9.66779,-19.3186,15.1258,-1.06447,0.693404,-1,9.17295
147390,14166165,15.802,-15.3364,3.80713,-0.0470376,15.8019,-0.0029767,2.89827,1,13.3792,-12.0793,-4.77108,-3.21414,12.9874,-0.245023,-2.76542,-1,9.39975
147390,479323326,19.2235,-11.5856,-5.06546,-14.4796,12.6446,-0.980359,-2.72942,-1,17.0016,-0.787123,-5.59541,-16.0351,5.65051,-1.76587,-1.71055,1,10.6945
147390,178810892,27.732,-24.2307,12.9403,-3.80639,27.4696,-0.138128,2.65108,-1,13.5862,-9.72555,8.98325,3.04941,13.2395,0.228337,2.39585,1,8.5413
147390,180365161,14.702,-6.48493,13.1818,0.580568,14.6906,0.0395095,2.02799,-1,3.02974,2.96588,0.561376,-0.26024,3.01854,-0.0861072,0.187065,1,10.6328
147390,181302972,8.33858,6.44839,4.85663,2.08886,8.0727,0.255952,0.645516,1,12.1165,10.6335,-5.31486,2.34329,11.8877,0.195863,-0.463507,-1,10.3328
147390,392989369,80.0198,11.7818,15.4959,-77.616,19.4662,-2.09161,0.920723,-1,8.28456,2.67715,-1.6926,-7.65519,3.16733,-1.61593,-0.563788,1,11.265
147390,408483018,3.62568,-3.09876,-1.26673,1.39234,3.34768,0.404768,-2.75354,1,16.7856,3.2807,-12.6006,10.5933,13.0207,0.743234,-1.31609,-1,8.97934
