//************************************************
// File Format Version 3.2
// Janus Release 3.2.3
// Acquisition Mode: Spectroscopy
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Wed Jun 25 21:11:24 2025 UTC
//************************************************
ATHAB 0010 24JUN2025 18:14:41 Pyramid 3.0 25.0 0.8 0.0 0.0 0.86 100
		Tstamp_us	   TrgID	     Brd	      Ch	      LG	      HG
		 862.800	       0	      04	      19	     180	    1338
		2216.712	       0	      00	      17	     805	    2825
		4515.024	       1	      01	      16	     150	     202
		        	        	      01	      17	    1663	    3830
		        	        	      01	      24	     864	    1520
		        	        	      01	      25	    2624	    6998
		        	        	      01	      26	    2858	    7820
		5955.848	       1	      00	      03	     424	    1546
		        	        	      00	      18	    3118	    8030
		        	        	      00	      19	    1591	    5605
		7317.840	       2	      00	      18	     634	    2219
		8956.944	       2	      04	      27	     106	     318
		14050.008	       3	      00	      26	     914	    3179
		        	        	      00	      27	     145	     433
		15082.160	       4	      00	      17	     610	    2165
		15205.688	       5	      00	      08	    1199	    4183
		        	        	      00	      09	     873	    3086
		15954.328	       6	      03	      15	       0	    1262
		16016.272	       6	      00	      10	    1025	    3616
		        	        	      00	      11	     390	    1399
		17106.176	       6	      02	      16	     766	    1479
		        	        	      02	      17	     862	    3048
		19710.552	       7	      00	      22	    2044	    7274
		        	        	      00	      23	     856	    2967
		19916.664	       8	      00	      21	     666	    2341
		20114.864	       9	      00	      22	    1033	    3732
		        	        	      00	      23	    4493	    8012
		        	        	      00	      24	     179	     622
		21866.744	      10	      00	      19	     884	    3158
		21256.240	      11	      03	      09	       0	    2421
		22408.056	      11	      02	      14	    1142	    4266
		22961.928	      11	      01	      08	    2137	    5621
		        	        	      01	      09	     126	     360
		24402.776	      11	      00	      24	     116	     324
		        	        	      00	      25	    2065	    7129
		        	        	      00	      26	     907	    3079
		        	        	      00	      27	     106	     318
		23571.592	      12	      01	      26	    1615	    3577
		        	        	      01	      27	    2369	    6156
		25012.440	      12	      00	      19	     104	     312
		        	        	      00	      20	    2231	    7926
		        	        	      00	      21	    1630	    5514
		27840.176	      12	      02	      20	     728	     190
		        	        	      02	      21	     573	       0
		29003.720	      13	      01	      14	    2604	    6880
		30444.576	      13	      00	      23	    1742	    6028
		        	        	      00	      24	    1095	    3809
		31969.456	      14	      00	      21	     968	    3415
		29856.848	      15	      04	      27	     134	      61
		32345.528	      15	      02	      12	     632	       0
		        	        	      02	      13	     688	     439
		33730.328	      15	      00	      13	     102	     412
		        	        	      00	      14	     729	    2614
		        	        	      00	      15	    3062	    8095
		33509.072	      16	      01	      18	    1774	    4500
		        	        	      01	      19	     709	    1442
		34949.936	      16	      00	      13	     629	    2253
		        	        	      00	      14	    4015	    8017
		        	        	      00	      15	     184	     632
		36663.664	      16	      03	      11	      11	    2335
		37815.384	      16	      02	      00	     554	       0
		        	        	      02	      01	    1354	    6902
		36737.136	      17	      04	      27	     133	       0
		38978.936	      17	      01	      19	     135	     220
		        	        	      01	      20	    2435	    6671
		        	        	      01	      43	     126	     518
		39225.800	      17	      02	      06	     839	     801
		        	        	      02	      07	     493	       0
		40419.808	      17	      00	      08	     628	    2234
		        	        	      00	      09	    2346	    8030
		40389.352	      18	      01	      15	     839	    1648
		        	        	      01	      16	    1110	    2272
		41830.224	      18	      00	      00	    1624	    5698
		        	        	      00	      01	    1579	    5651
		48528.168	      18	      04	      27	      62	     353
		52180.384	      19	      01	      29	     147	     180
		        	        	      01	      30	    2186	    5491
		        	        	      01	      31	    3176	    8096
		53621.272	      19	      00	      21	     866	    3075
		        	        	      00	      22	    2774	    7971
		54552.728	      20	      04	      27	      86	     319
		56989.760	      20	      00	      18	     126	     402
		        	        	      00	      19	    2170	    7529
		        	        	      00	      20	     944	    3226
		57509.248	      21	      03	      35	      85	     304
		59645.840	      21	      00	      09	     958	    3293
		61265.304	      22	      00	      25	     791	    2680
		64663.288	      23	      00	      25	     696	    2419
		65956.864	      24	      00	      26	     682	    2337
		67746.976	      25	      00	      05	     985	    3309
		68257.904	      26	      00	      24	    1208	    3953
		        	        	      00	      25	    1094	    3819
		71413.136	      26	      04	      27	     142	     397
		79775.016	      26	      05	      35	     112	     389
		75065.352	      27	      01	      11	     231	     433
		        	        	      01	      12	    3134	    8038
		        	        	      01	      13	    1312	    2943
		        	        	      01	      14	    3362	    8044
		        	        	      01	      15	    3452	    8049
		        	        	      01	      16	     853	    1668
		        	        	      01	      17	    2678	    7082
		        	        	      01	      18	     134	     268
		        	        	      01	      21	    1889	    4281
		        	        	      01	      22	    1895	    4365
		        	        	      01	      23	    2165	    5286
		76506.272	      27	      00	      10	    1508	    5355
		        	        	      00	      11	    2600	    8016
		        	        	      00	      12	    6092	    8131
		        	        	      00	      13	    3776	    8049
		        	        	      00	      14	     111	     418
		        	        	      00	      23	     179	     572
		86054.016	      28	      00	      24	    3005	    8006
		        	        	      00	      25	    4538	    8062
		        	        	      00	      26	      97	     335
		89059.728	      29	      00	      03	    1702	    5788
		89281.368	      29	      04	      27	     171	     531
		91770.000	      29	      02	      11	     694	    1244
		92933.584	      30	      01	      09	    1921	    4568
		        	        	      01	      10	     417	     632
		94374.528	      30	      00	      07	     993	    3554
		        	        	      00	      08	    1250	    4418
		95707.952	      31	      00	      01	     760	    2814
		107468.144	      32	      00	      00	    3235	    8081
		106540.232	      33	      02	      03	     170	       0
		        	        	      02	      07	     236	       0
		        	        	      02	      09	     396	       0
		108424.904	      33	      00	      23	     884	    3104
		109144.792	      34	      00	      19	    2129	    7483
		        	        	      00	      20	    3406	    8048
		        	        	      00	      21	     497	    1863
		110917.792	      35	      00	      00	    2277	    7926
		111894.632	      36	      00	      07	     638	    2298
		117285.912	      37	      04	      01	       0	    6429
		119774.520	      37	      02	      27	     491	       0
		120078.952	      37	      00	      11	     868	    2859
		120752.008	      38	      03	      05	       0	    2218
		120938.120	      38	      01	      27	    2593	    6774
		        	        	      01	      28	    1885	    4422
		121903.208	      38	      02	      17	    1237	    3954
		        	        	      02	      18	    1205	    2165
		122379.104	      38	      00	      16	     131	     424
		        	        	      00	      17	    3815	    8034
		        	        	      00	      18	     161	     554
		123066.808	      39	      01	      30	    2237	    6414
		        	        	      01	      31	    1448	    3625
		124507.800	      39	      00	      01	    1998	    7187
		        	        	      00	      02	    3662	    7999
		133906.352	      40	      00	      27	    1287	    4563
		140709.968	      41	      01	      30	    4842	    8119
		        	        	      01	      31	    2196	    5570
		142150.984	      41	      00	      02	     799	    2777
		        	        	      00	      03	    2373	    8065
		        	        	      00	      04	     137	     399
		        	        	      00	      07	     441	    1487
		        	        	      00	      15	     119	     318
		140784.888	      42	      01	      11	    2055	    5355
		142225.904	      42	      00	      07	    2222	    7688
		140950.200	      43	      01	      14	    1411	    3455
		        	        	      01	      15	    1854	    4916
		142391.216	      43	      00	      10	     328	    1183
		        	        	      00	      11	    5457	    8016
		        	        	      00	      27	     118	     344
		148596.088	      44	      00	      17	     693	    2460
		144252.560	      45	      04	      27	     142	     392
		146741.144	      45	      02	      27	    1533	    4239
		148893.120	      45	      00	      14	    2924	    8017
		        	        	      00	      15	     584	    2065
		147904.760	      46	      01	      28	     563	    1447
		        	        	      01	      29	    3178	    7986
		149345.784	      46	      00	      13	     242	     934
		        	        	      00	      14	    2996	    8017
		        	        	      00	      15	     101	     348
		151724.920	      47	      01	      38	    1454	    3332
		        	        	      01	      39	    2142	    5523
		153165.952	      47	      00	      25	    1589	    5512
		        	        	      00	      26	     613	    2164
		160413.328	      47	      03	      21	      83	     384
		164168.960	      48	      00	      05	    1218	    4164
		170829.664	      48	      04	      27	     190	     591
		175922.928	      49	      00	      01	     684	    2532
		177611.344	      49	      02	      09	     444	       0
		        	        	      02	      10	     936	    1917
		176269.744	      50	      04	      01	       0	    2385
		177607.456	      50	      03	      20	     171	    3332
		178758.312	      50	      02	      13	     282	       0
		178774.984	      50	      01	      44	    1918	    4702
		180216.048	      50	      00	      01	    2822	    8039
		        	        	      00	      02	    1069	    3687
		179921.952	      51	      01	      11	    3491	    8053
		181363.016	      51	      00	      07	    1513	    5299
		        	        	      00	      08	    3155	    8041
		188374.544	      52	      03	      00	       0	    4044
		        	        	      03	      01	       2	     644
		189525.328	      52	      02	      07	     342	       0
		        	        	      02	      08	     485	       0
		        	        	      02	      12	     195	       0
		        	        	      02	      13	    1121	    2879
		        	        	      02	      15	     142	     135
		189720.936	      52	      00	      14	     558	    2044
		190688.976	      53	      01	      19	    2614	    7283
		        	        	      01	      20	    2197	    5709
		192130.056	      53	      00	      24	    3153	    8006
		        	        	      00	      25	     929	    3332
		210631.672	      54	      00	      25	     802	    2761
		210730.848	      55	      04	      27	      61	     302
		212068.744	      55	      03	      00	     135	     395
		213219.384	      55	      02	      05	     474	       0
		        	        	      02	      06	     478	       0
		215242.208	      55	      00	      16	     426	    1471
		        	        	      00	      17	    1268	    4192
		213341.240	      56	      02	      13	     707	     299
		        	        	      02	      14	     540	       0
		214383.048	      56	      01	      28	    1514	    3111
		        	        	      01	      29	    1351	    2652
		        	        	      01	      30	    1513	    3343
		        	        	      01	      31	    1287	    2384
		215824.160	      56	      00	      04	     107	     355
		        	        	      00	      05	    4348	    8018
		        	        	      00	      06	    1235	    4407
		        	        	      00	      07	     377	    1416
		        	        	      00	      09	    1194	    4244
		        	        	      00	      10	    2142	    7580
