//************************************************
// File Format Version 3.2
// Janus Release 3.2.3
// Acquisition Mode: Spectroscopy
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Wed Jun 25 21:15:04 2025 UTC
//************************************************
ATHAB 0010 24JUN2025 18:14:41 Pyramid 3.0 25.0 0.8 0.0 0.0 0.86 100
		Tstamp_us	   TrgID	     Brd	      Ch	      LG	      HG
		1367.256	       0	      03	      16	     151	       0
		        	        	      03	      17	     672	     944
		        	        	      03	      19	     681	    1147
		2633.192	       0	      02	      07	     915	    1016
		        	        	      02	      08	    1203	    2244
		3860.664	       0	      01	      32	     580	    1321
		        	        	      01	      33	    2401	    6420
		5013.888	       0	      00	      02	    1632	    5645
		        	        	      00	      03	    1331	    4638
		8021.496	       1	      04	      12	      48	     331
		        	        	      04	      13	      57	     336
		        	        	      04	      14	      63	     306
		9108.696	       1	      03	      00	      57	     683
		        	        	      03	      02	      47	     550
		        	        	      03	      03	      49	     527
		        	        	      03	      04	      59	     661
		        	        	      03	      05	      43	     675
		        	        	      03	      06	      46	     608
		        	        	      03	      07	      48	     663
		        	        	      03	      08	      48	     677
		        	        	      03	      09	      49	     698
		        	        	      03	      10	      43	     614
		        	        	      03	      11	      39	     600
		        	        	      03	      12	      55	     525
		        	        	      03	      13	      45	     568
		        	        	      03	      14	      64	     479
		        	        	      03	      15	      48	     515
		        	        	      03	      16	      51	     609
		        	        	      03	      17	      47	     650
		        	        	      03	      18	      52	     561
		        	        	      03	      19	      57	     410
		        	        	      03	      20	      54	     656
		        	        	      03	      21	      43	     621
		        	        	      03	      22	      45	     460
		        	        	      03	      23	      50	     509
		        	        	      03	      24	      49	     733
		        	        	      03	      25	      49	     770
		        	        	      03	      26	      46	     668
		        	        	      03	      27	      50	     669
		        	        	      03	      28	      53	     640
		        	        	      03	      29	      41	     754
		        	        	      03	      30	      49	     551
		        	        	      03	      31	      47	     580
		        	        	      03	      36	      46	     583
		        	        	      03	      37	      53	     589
		        	        	      03	      38	      40	     529
		        	        	      03	      39	      37	     513
		        	        	      03	      40	      43	     396
		        	        	      03	      41	      44	     414
		        	        	      03	      42	      45	     392
		        	        	      03	      43	      36	     317
		        	        	      03	      44	      37	     379
		        	        	      03	      45	      41	     436
		        	        	      03	      46	      55	     379
		        	        	      03	      47	      29	     397
		12755.296	       1	      00	      26	     673	    2332
		13066.256	       2	      01	      30	    4081	    8119
		        	        	      01	      31	    2184	    5592
		14219.496	       2	      00	      15	     131	     374
		        	        	      00	      16	    2877	    8044
		        	        	      00	      17	    1930	    6746
		23856.424	       3	      01	      19	     164	     406
		        	        	      01	      20	    2533	    6763
		        	        	      01	      21	    1333	    2944
		        	        	      01	      35	      62	     332
		25009.680	       3	      00	      06	    2608	    8013
