//************************************************
// File Format Version 3.2
// Janus Release 3.2.3
// Acquisition Mode: Spectroscopy
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Wed Oct 29 19:35:22 2025 UTC
// Run info format:
// Detector Run Date LocalTime Location DetectorPositionXYZ Theta Phi PlaneSeparation MinADC
//************************************************
COMMENTS: 
ATHAB 151 29OCT2025 19:35:22 Pyramid 3.0 25.0 0.8 0.0 0.0 0.86 100 
		Tstamp_us	   TrgID	     Brd	      Ch	      LG	      HG
		3493.328	       0	      00	      12	    1856	    5600
		3493.328	       0	      00	      13	     715	    2166
		3493.328	       0	      02	      14	     739	    2284
		3493.328	       0	      02	      15	    1807	    5464
		3493.288	       0	      04	      17	    2162	    6431
		3493.344	       0	      01	      13	    2196	    6684
		3493.344	       0	      01	      14	     339	    1065
		3493.312	       0	      03	      16	    1808	    5513
		3493.272	       0	      05	      19	    2156	    6463
		6929.168	       1	      00	      00	    1049	    3142
		8911.232	       2	      00	      22	     549	    1678
		8911.232	       2	      00	      23	     420	    1196
		13057.520	       3	      00	      24	    1902	    5875
		13057.520	       3	      00	      25	    1115	    3321
		13057.536	       3	      01	      35	    1745	    5426
		13057.536	       3	      01	      36	     927	    2820
		16089.024	       4	      00	      22	     117	     300
		16089.024	       4	      00	      23	    2574	    7728
		16089.024	       4	      00	      24	     973	    2952
		16089.024	       4	      02	      21	    1463	    4498
		16089.024	       4	      02	      22	     242	     681
		16089.000	       4	      04	      19	     916	    2696
		16089.000	       4	      04	      20	     632	    1800
		16089.048	       4	      01	      29	    1646	    5020
		16089.048	       4	      01	      30	    1463	    4481
		16089.008	       4	      03	      37	    1820	    5565
		16089.008	       4	      03	      38	    1227	    3778
		16088.976	       4	      05	      44	     199	     463
		16088.976	       4	      05	      45	    2454	    7366
		16361.280	       5	      00	      04	     571	    1677
		32263.720	       6	      00	      13	    2027	    6126
		32263.720	       6	      02	      14	    1037	    3155
		32263.720	       6	      02	      15	    3143	    8005
		32263.688	       6	      04	      16	     967	    2807
		32263.688	       6	      04	      17	    2125	    6315
		32263.744	       6	      01	      20	     259	     796
		32263.744	       6	      01	      21	    1342	    4137
		32263.696	       6	      03	      17	    2112	    6500
		32263.672	       6	      05	      12	     992	    2920
		32263.672	       6	      05	      13	    3529	    8066
		32939.144	       7	      00	      14	    1058	    3267
		32939.144	       7	      00	      15	     946	    2850
		32939.160	       7	      01	      44	    2254	    6925
		62680.664	       8	      00	      27	    1301	    3910
		65575.960	       9	      00	      20	     575	    1725
		67281.664	      10	      00	      07	     709	    2140
		83888.736	      11	      00	      24	     749	    2300
		83888.736	      11	      00	      25	    1369	    4090
		83888.736	      11	      02	      25	    1807	    5497
		83888.704	      11	      04	      25	     493	    1357
		83888.704	      11	      04	      26	    1642	    4788
		83888.760	      11	      01	      28	    1506	    4543
		83888.760	      11	      01	      29	     905	    2759
		83888.712	      11	      03	      26	    1442	    4416
		83888.712	      11	      03	      27	     649	    2018
		83888.680	      11	      05	      24	    1062	    3118
		88660.472	      12	      00	      26	    2156	    6466
		88660.472	      12	      02	      24	    1675	    5110
		88660.432	      12	      04	      21	     563	    1571
		88660.432	      12	      04	      22	    1769	    5365
		88660.456	      12	      03	      19	     951	    2912
		88660.456	      12	      03	      20	    1680	    5173
		88660.416	      12	      05	      27	     943	    2742
		88660.416	      12	      05	      28	    2319	    6978
		105052.568	      13	      00	      16	     138	     348
		105052.568	      13	      00	      17	     579	    1722
		110503.616	      14	      00	      09	     897	    2706
		135160.584	      15	      00	      18	     165	     432
		135160.584	      15	      00	      19	    1579	    4724
		135160.584	      15	      02	      21	     922	    2819
		135160.584	      15	      02	      22	    2196	    6667
		135160.584	      15	      02	      23	     133	     306
		135160.552	      15	      04	      24	     891	    2627
		135160.552	      15	      04	      25	    1012	    2951
		135160.600	      15	      01	      27	     616	    1858
		135160.600	      15	      01	      28	    2182	    6573
		135160.568	      15	      03	      28	     262	     760
		135160.568	      15	      03	      29	     913	    2820
		135160.568	      15	      03	      30	     388	    1140
		135160.568	      15	      03	      31	    2083	    6388
		135160.528	      15	      05	      33	    1329	    3840
		135160.528	      15	      05	      34	     819	    2367
		155032.112	      16	      00	      17	     771	    2346
		162864.624	      17	      00	      04	     499	    1478
		162864.648	      17	      01	      06	     205	     588
		188326.784	      18	      00	      27	     919	    2770
		188326.784	      18	      02	      21	    1133	    3518
		188326.784	      18	      02	      22	     791	    2404
		188326.752	      18	      04	      15	    1500	    4435
		188326.752	      18	      04	      16	     882	    2517
		188326.768	      18	      03	      26	    2484	    7604
		188326.728	      18	      05	      25	    1078	    3150
		188326.728	      18	      05	      26	    1155	    3345
		195247.400	      19	      00	      16	    1622	    4898
		195247.400	      19	      00	      17	     840	    2529
		195247.400	      19	      02	      20	    2294	    7043
		195247.368	      19	      04	      23	    3722	    8036
		195247.424	      19	      01	      11	     286	     886
		195247.424	      19	      01	      12	    2223	    6794
		195247.384	      19	      03	      17	    1206	    3700
		195247.384	      19	      03	      20	     141	     340
		195247.384	      19	      03	      21	    1596	    4809
		195247.384	      19	      03	      22	    1531	    4793
		195247.344	      19	      05	      29	     226	     587
		195247.344	      19	      05	      30	    2984	    8123
		226433.176	      20	      00	      03	     749	    2299
		227018.104	      21	      00	      15	     284	     816
		227018.104	      21	      00	      21	     673	    2003
