//************************************************
// File Format Version 3.2
// Janus Release 3.2.3
// Acquisition Mode: Spectroscopy
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Sat Jun 28 04:05:30 2025 UTC
//************************************************
ATHAB 0010 17JUN2025 04:05:30 Pyramid 3.0 25.0 0.8 0.0 0.0 0.86 100
		Tstamp_us	   TrgID	     Brd	      Ch	      LG	      HG
		  58.808	       0	      03	      21	     934	    3095
		1512.280	       0	      02	      09	    1962	    5567
		2812.512	       0	      00	      03	     794	    2812
		3095.888	       1	      01	      42	     149	     289
		        	        	      01	      43	    4782	    8074
		4589.760	       1	      00	      16	    2097	    7305
		        	        	      00	      17	     289	    1105
		17159.392	       2	      00	      24	    3407	    8006
		        	        	      00	      25	     136	     476
		13812.096	       3	      03	      07	     336	       0
		        	        	      03	      08	     420	       0
		15265.480	       3	      02	      15	    1126	    1949
		        	        	      02	      16	    1987	    5949
		17363.080	       3	      00	      06	    2173	    7580
		16849.104	       4	      01	      08	    1880	    4921
		        	        	      01	      09	    2102	    5408
		18342.984	       4	      00	      05	    2186	    7459
		        	        	      00	      06	     733	    2742
		25041.968	       5	      05	      46	       0	    1420
		        	        	      05	      47	       0	    2514
		26640.600	       5	      04	      17	     339	    4935
		28613.272	       5	      01	      37	    2825	    7872
		        	        	      01	      38	    1707	    4440
		30107.160	       5	      00	      07	     144	     526
		        	        	      00	      08	    2719	    8041
		        	        	      00	      09	    6110	    8030
		        	        	      00	      10	    3048	    8100
		        	        	      00	      11	     468	    1784
		        	        	      00	      12	     124	     314
		29498.384	       6	      02	      22	     171	       0
		29658.192	       6	      01	      44	    3243	    8091
		        	        	      01	      45	    1839	    4532
		31152.080	       6	      00	      15	     720	    2532
		        	        	      00	      16	     753	    2704
		        	        	      00	      17	     123	     305
		31082.016	       7	      01	      06	    3009	    8086
		        	        	      01	      07	    1198	    2577
		        	        	      01	      08	    3395	    8051
		        	        	      01	      09	    3746	    8086
		        	        	      01	      10	    2716	    7274
		        	        	      01	      12	     185	     402
		        	        	      01	      16	     387	     835
		        	        	      01	      17	    1469	    3546
		        	        	      01	      18	    2052	    5422
		32575.904	       7	      00	      21	      96	     330
		        	        	      00	      22	    1819	    6390
		        	        	      00	      23	    2739	    8012
		        	        	      00	      24	    4095	    8006
		        	        	      00	      25	    5458	    8062
		        	        	      00	      26	    2592	    8064
		        	        	      00	      27	     116	     414
		33834.640	       8	      00	      24	     734	    2516
		37992.288	       9	      00	      17	     683	    2360
		42426.840	      10	      00	      06	     727	    2636
		51940.496	      11	      00	      07	     885	    3149
		52304.792	      12	      00	      27	     645	    2112
		53875.440	      13	      01	      42	     521	     717
		        	        	      01	      43	    5675	    8074
		55369.344	      13	      00	      16	     762	    2732
		        	        	      00	      17	    1955	    6853
		        	        	      00	      18	     118	     361
		54161.224	      14	      01	      32	     131	     212
		        	        	      01	      33	    4137	    8067
		        	        	      01	      34	    2197	    5584
		55655.128	      14	      00	      19	     136	     482
		        	        	      00	      21	      93	     317
		        	        	      00	      22	     910	    3201
		        	        	      00	      23	    5706	    8012
		        	        	      00	      24	    1899	    6580
		        	        	      00	      25	    3043	    8062
		        	        	      00	      26	     112	     387
		57688.568	      15	      00	      15	     815	    2738
		59876.960	      16	      01	      32	    2468	    6544
		        	        	      01	      33	    1439	    3282
		61370.872	      16	      00	      15	    1993	    6924
		        	        	      00	      16	    1991	    6899
		63474.344	      17	      01	      38	    2161	    5769
		        	        	      01	      39	    2444	    6765
		64968.256	      17	      00	      09	    1367	    4812
		        	        	      00	      10	    5837	    8100
		        	        	      00	      11	     127	     480
		69522.008	      18	      00	      04	      98	     315
		        	        	      00	      06	     593	    2050
		70263.024	      19	      00	      18	    1172	    4073
		71857.904	      19	      03	      14	     900	    1859
		        	        	      03	      15	     544	       0
		73310.936	      19	      02	      10	     657	       0
		        	        	      02	      11	    1778	    4695
		74894.600	      20	      01	      32	    4571	    8059
		        	        	      01	      33	     273	     491
		76388.520	      20	      00	      18	     740	    2529
		        	        	      00	      19	    2858	    8024
		81600.104	      20	      03	      18	    1230	    5111
		83053.072	      20	      02	      08	    2568	    7251
		        	        	      02	      09	     285	       0
		84636.744	      21	      01	      40	     389	     564
		86130.672	      21	      00	      23	     126	     420
		        	        	      00	      24	    4277	    8006
		        	        	      00	      25	     926	    3253
		85173.688	      22	      01	      41	    2290	    5862
		        	        	      01	      42	    1224	    2507
		86667.616	      22	      00	      04	    1670	    5810
		85333.752	      23	      01	      15	     124	     303
		        	        	      01	      16	    3027	    7981
		        	        	      01	      17	    5899	    8069
		        	        	      01	      18	     197	     560
		85417.368	      23	      05	      35	      51	     337
		86827.680	      23	      00	      17	    1046	    3601
		        	        	      00	      18	    3291	    8030
		        	        	      00	      19	     176	     651
		88420.736	      24	      03	      10	     377	       0
		        	        	      03	      11	     143	       0
		        	        	      03	      12	     695	     964
		89873.664	      24	      02	      01	     336	     942
		        	        	      02	      02	    1580	    4506
		91945.456	      24	      00	      05	     663	    2211
		91457.336	      25	      01	      20	    2015	    5256
		        	        	      01	      21	     928	    1946
		92794.392	      25	      02	      06	     207	       0
		92951.272	      25	      00	      08	    2244	    7791
		        	        	      00	      09	     344	    1261
		94574.640	      26	      03	      02	     557	     161
		        	        	      03	      03	     403	       0
		95872.008	      26	      00	      12	     754	    2674
		        	        	      00	      14	     172	     451
		96027.528	      26	      02	      11	    1752	    5272
		97611.208	      27	      01	      05	    1291	    3044
		        	        	      01	      06	    1592	    3781
		99105.144	      27	      00	      10	     855	    2857
		        	        	      00	      11	    2229	    7779
		101795.344	      27	      03	      10	     486	     710
		        	        	      03	      11	     373	       0
		103248.184	      27	      02	      18	    1301	    2507
		        	        	      02	      19	     867	     619
		104831.872	      28	      01	      16	    1793	    4458
		        	        	      01	      17	     717	    1404
		106325.816	      28	      00	      24	    4407	    8006
		        	        	      00	      25	     828	    2920
		107865.840	      29	      00	      15	     662	    2221
		109583.440	      30	      00	      26	     118	     354
		        	        	      00	      27	    2678	    8022
		122416.352	      31	      03	      24	     126	       0
		123446.984	      31	      00	      17	     110	     306
		        	        	      00	      18	     793	    2801
		129814.064	      31	      04	      02	       0	     880
		126946.728	      32	      00	      20	     720	    2513
		134255.544	      33	      01	      22	    2114	    5104
		135749.504	      33	      00	      07	     300	    1095
		        	        	      00	      15	    1055	    3698
		        	        	      00	      16	    2569	    8044
		144462.440	      34	      00	      09	     809	    2842
		145099.944	      35	      00	      02	    1423	    4921
		149410.088	      36	      00	      25	    1072	    3648
		149723.032	      36	      04	      23	     120	     370
		151822.400	      37	      00	      24	     718	    2509
		154164.528	      38	      01	      14	    2539	    7071
		        	        	      01	      15	    3024	    8049
		155658.504	      38	      00	      13	     132	     554
		        	        	      00	      14	    5977	    8017
		        	        	      00	      15	    2571	    8095
		        	        	      00	      16	     129	     398
		155256.272	      39	      04	      03	       0	    2156
		158531.648	      39	      00	      00	     645	    2119
		160604.040	      40	      00	      10	     886	    3112
		159697.768	      41	      01	      09	     134	     316
		        	        	      01	      10	    5420	    8047
		        	        	      01	      11	    1091	    2870
		161191.752	      41	      00	      11	    2052	    7158
		        	        	      00	      12	    5790	    8131
		        	        	      00	      13	     171	     717
		165395.416	      42	      00	      03	    1021	    3435
		167010.760	      43	      01	      02	    1270	    2543
		        	        	      01	      03	    2700	    7295
		168504.744	      43	      00	      15	     785	    2779
