//************************************************
// File Format Version 3.2
// Janus Release 3.2.3
// Acquisition Mode: Spectroscopy
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Sat Jun 28 04:15:32 2025 UTC
//************************************************
ATHAB 0010 28JUN2025 04:15:32 Pyramid 3.0 25.0 0.8 0.0 0.0 0.86 100
		Tstamp_us	   TrgID	     Brd	      Ch	      LG	      HG
		2215.528	       0	      01	      01	     109	     359
		        	        	      01	      02	    3269	    8090
		3884.624	       0	      00	      15	    1890	    6622
		        	        	      00	      16	    1218	    4361
		25042.360	       1	      00	      00	     782	    2750
		26275.456	       2	      00	      20	     771	    2685
		26619.120	       3	      01	      44	    2730	    7027
		        	        	      01	      45	    1134	    2094
		28288.232	       3	      00	      05	     124	     363
		        	        	      00	      06	    1027	    3597
		        	        	      00	      07	     631	    2117
		38175.472	       4	      00	      18	    1901	    6719
		        	        	      00	      19	    5379	    8024
		        	        	      00	      20	     109	     302
		47755.704	       5	      00	      13	    1435	    5163
		49060.504	       6	      00	      05	     862	    3005
		56946.296	       7	      00	      17	    1048	    3670
		62021.848	       7	      03	      27	     625	    3480
		        	        	      03	      29	     648	    3071
		        	        	      03	      30	     200	       0
		63484.472	       8	      02	      02	    1145	    1948
		        	        	      02	      03	     484	       0
		        	        	      02	      04	    1820	    5471
		        	        	      02	      05	     747	     192
		66821.520	       8	      00	      00	     857	    3108
		74080.320	       9	      00	      14	     136	     346
		        	        	      00	      16	     129	     325
		        	        	      00	      17	     909	    3111
		79146.184	       9	      04	      22	      72	     606
		83681.968	      10	      01	      06	    1053	    2785
		        	        	      01	      07	    2757	    7952
		85351.128	      10	      00	      16	    2464	    8044
		        	        	      00	      17	     381	    1224
		95282.520	      11	      00	      21	     738	    2593
		96114.072	      12	      00	      07	     891	    3166
		98663.872	      13	      03	      46	     546	    2772
		102533.000	      13	      00	      27	     989	    3492
		98843.048	      14	      03	      15	     802	    1876
		100126.272	      14	      02	      23	     154	       0
		101794.208	      14	      01	      37	     527	     607
		        	        	      01	      38	    2026	    4988
