//************************************************
// File Format Version 3.2
// Janus Release 3.2.3
// Acquisition Mode: Spectroscopy
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Sat Jun 28 04:25:03 2025 UTC
//************************************************
ATHAB 0010 28JUN2025 04:25:03 Pyramid 3.0 25.0 0.8 0.0 0.0 0.86 100
		Tstamp_us	   TrgID	     Brd	      Ch	      LG	      HG
		4946.872	       0	      01	      18	    2504	    7007
		        	        	      01	      19	    1521	    3745
		6827.448	       0	      00	      10	    1269	    4502
		        	        	      00	      11	    2206	    7677
		9107.464	       1	      00	      15	    1157	    3852
		9823.888	       2	      01	      29	    3614	    7986
		11704.464	       2	      00	      11	     123	     435
		        	        	      00	      12	     804	    2903
		        	        	      00	      13	    2381	    8049
		        	        	      00	      14	    2262	    7837
		        	        	      00	      15	     168	     522
		14517.504	       3	      01	      33	      76	     302
		16398.088	       3	      00	      04	     787	    2697
		12514.576	       4	      03	      10	     129	       0
		17891.288	       4	      00	      15	     198	     593
		        	        	      00	      16	    5868	    8044
		        	        	      00	      17	    6168	    8034
		        	        	      00	      18	     209	     843
		        	        	      00	      19	      58	     330
		18162.992	       5	      01	      01	    2964	    8038
		20043.576	       5	      00	      13	     669	    2312
		        	        	      00	      14	     805	    2812
		28996.536	       6	      01	      07	    1974	    5188
		        	        	      01	      38	      95	     348
		30877.128	       6	      00	      05	    1074	    3795
		        	        	      00	      06	    2292	    8013
		29230.920	       7	      03	      08	     742	    3766
		        	        	      03	      09	     174	       0
		31059.008	       7	      02	      02	     969	    1223
		        	        	      02	      03	    1989	    6279
		31796.008	       7	      04	      01	       0	    2182
		32726.960	       7	      01	      37	     131	     112
		        	        	      01	      38	    2703	    6823
		        	        	      01	      39	    2521	    6360
		34607.552	       7	      00	      20	    2216	    7706
		        	        	      00	      21	     921	    3133
		37005.520	       8	      01	      20	    4242	    8049
		        	        	      01	      21	     605	    1393
		38886.120	       8	      00	      17	     461	    1543
		        	        	      00	      18	    5209	    8030
		        	        	      00	      19	     190	     687
		39307.504	       9	      00	      23	     932	    3243
		47977.360	      10	      00	      19	     631	    2244
		50208.032	      11	      01	      33	     229	     498
		        	        	      01	      34	    3285	    8123
		52088.640	      11	      00	      21	    1202	    4019
