//************************************************
// File Format Version 3.2
// Janus Release 3.2.3
// Acquisition Mode: Spectroscopy
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Jul 10 00:29:57 2025 UTC
//************************************************
ATHAB 0010 30JUN2025 23:40:17 Pyramid 3.0 25.0 0.8 0.0 0.0 0.86 100
		Tstamp_us	   TrgID	     Brd	      Ch	      LG	      HG
		4219.176	       0	      00	      09	      84	     384
		        	        	      00	      10	     760	    3223
		        	        	      00	      11	    1121	    4935
		2029.936	       0	      02	      00	     632	    1388
		        	        	      02	      01	    1054	    4219
		 204.312	       0	      04	      20	     136	     188
		        	        	      04	      21	    1345	    3320
		3039.664	       0	      01	      42	    2506	    8141
		        	        	      01	      43	      77	     422
		1106.984	       0	      03	      43	     482	       0
		        	        	      03	      44	    1149	    1190
		19303.368	       1	      00	      05	     109	     537
		        	        	      00	      06	    4309	    8013
		        	        	      00	      07	    1800	    7977
		18123.848	       1	      01	      06	    2235	    8086
		        	        	      01	      07	    3132	    8102
		19735.440	       2	      00	      10	     626	    2691
		        	        	      00	      11	     141	     607
		22829.576	       3	      00	      18	    2276	    8030
		        	        	      00	      19	    1607	    7062
		        	        	      00	      20	     105	     363
		20640.296	       3	      02	      03	    1396	    4913
		21650.056	       3	      01	      16	     112	     593
		        	        	      01	      17	    3094	    8069
		        	        	      01	      18	     403	    1807
		19717.456	       3	      03	      39	    2593	    6781
		17814.272	       3	      05	      20	     207	      45
		41688.360	       4	      00	      10	    1759	    7268
		        	        	      00	      11	     433	    1908
		39499.048	       4	      02	      06	    1334	    3873
		        	        	      02	      07	     626	    1338
		37673.424	       4	      04	      14	    2052	    6683
		        	        	      04	      15	     407	     921
		40508.824	       4	      01	      27	    2277	    8029
		38576.312	       4	      03	      18	    1667	    3105
		36673.072	       4	      05	      37	    1107	    1040
		        	        	      05	      38	    1179	    1238
		        	        	      05	      39	     799	       0
		        	        	      05	      40	    1189	    1393
		45810.936	       5	      00	      09	      99	     339
		        	        	      00	      13	     472	    2145
		58160.432	       6	      00	      10	    1406	    6139
		54145.472	       6	      04	      22	     784	    1886
		        	        	      04	      23	    1435	    3710
		56980.888	       6	      01	      39	    2025	    8062
		53145.160	       6	      05	      44	    2297	    5471
		        	        	      05	      45	     203	       0
		64960.280	       7	      00	      01	    1521	    6862
		        	        	      00	      02	     194	     806
		        	        	      00	      03	    1212	    5285
		        	        	      00	      04	     572	    2301
		63780.736	       7	      01	      43	      85	     308
		        	        	      01	      46	    1046	    4593
		        	        	      01	      47	    2129	    8003
		80032.784	       8	      00	      17	     585	    2419
		83443.648	       9	      00	      09	    1127	    4796
		        	        	      00	      10	    1777	    7536
		        	        	      00	      11	    2250	    8016
		        	        	      00	      12	    3689	    8131
		        	        	      00	      13	    1342	    5715
		        	        	      00	      14	    1618	    7081
		        	        	      00	      15	      80	     352
		82264.088	       9	      01	      30	     119	     475
		        	        	      01	      31	    1592	    6675
		        	        	      01	      46	     848	    3751
		80331.768	       9	      03	      17	     245	      57
		84613.872	      10	      00	      00	     388	    1766
		        	        	      00	      01	    1424	    6346
		84874.288	      11	      00	      04	     731	    3043
		        	        	      00	      05	      96	     352
		94715.280	      12	      00	      18	     686	    2948
		110328.968	      13	      00	      27	     797	    3291
		114419.704	      14	      00	      01	    1268	    5588
		        	        	      00	      02	     741	    3208
		112230.256	      14	      02	      07	     730	    1424
		        	        	      02	      08	     579	    1358
		113240.128	      14	      01	      44	     804	    3572
		        	        	      01	      45	     491	    2191
		111307.944	      14	      03	      40	    1353	    1512
		        	        	      03	      41	     623	       0
		115143.464	      15	      00	      10	     122	     465
		        	        	      00	      11	    2201	    8016
		        	        	      00	      12	    1088	    4669
		113963.896	      15	      01	      14	    1308	    5640
		        	        	      01	      15	    1770	    7962
		        	        	      01	      16	      83	     368
		116868.912	      16	      00	      24	    3206	    8006
		        	        	      00	      25	     149	     635
		130267.336	      17	      00	      10	    2177	    8100
		        	        	      00	      11	    2000	    8016
		126252.256	      17	      04	      27	    2149	    6585
		129087.760	      17	      01	      40	    1915	    8014
		137644.992	      18	      00	      18	     897	    3933
		138461.160	      19	      00	      05	     984	    4323
		138932.256	      20	      00	      10	     579	    2540
		142329.360	      21	      00	      07	    1564	    6851
		        	        	      00	      08	    2128	    8041
		        	        	      00	      09	      96	     433
		141149.776	      21	      01	      16	    1065	    4767
		        	        	      01	      17	    3685	    8069
		        	        	      01	      18	      81	     454
		147712.064	      22	      00	      08	     909	    4019
		        	        	      00	      09	     868	    3789
		145522.568	      22	      02	      01	    1242	    4549
		        	        	      02	      02	     860	    1794
		144600.440	      22	      03	      26	     518	       0
		        	        	      03	      27	    1210	     544
		153127.856	      23	      00	      16	    1200	    5254
		        	        	      00	      17	     746	    3147
		150938.344	      23	      02	      02	    2335	    7750
		        	        	      02	      03	     653	    1692
		151948.264	      23	      01	      34	    3069	    8123
		150016.248	      23	      03	      31	    1228	     973
		        	        	      03	      32	     488	       0
		154745.520	      24	      00	      06	    1879	    7967
		        	        	      00	      07	      75	     307
		150730.392	      24	      04	      14	     908	    2670
		        	        	      04	      15	    1843	    6017
		153565.928	      24	      01	      09	    2205	    8086
		149730.328	      24	      05	      12	     906	     373
		        	        	      05	      13	    1167	    1364
		168068.768	      25	      00	      20	     805	    3567
		        	        	      00	      21	    1288	    5493
		166889.168	      25	      01	      16	    1146	    4959
		        	        	      01	      17	    1726	    7455
		164957.216	      25	      03	      01	    2759	    8043
		175745.144	      26	      00	      08	     937	    4127
		        	        	      00	      09	    3024	    8030
		        	        	      00	      10	      88	     339
		173555.592	      26	      02	      09	    1015	    3105
		        	        	      02	      10	    2144	    7179
		172633.632	      26	      03	      04	    1142	    1380
		        	        	      03	      05	    1850	    3875
		        	        	      03	      34	      89	     372
		179650.160	      27	      00	      09	     828	    3618
		178470.560	      27	      01	      34	     135	     569
		188942.504	      28	      00	      01	    2241	    8039
		        	        	      00	      02	      90	     318
		184927.320	      28	      04	      03	    1040	    2722
		        	        	      04	      04	     576	    1144
		187762.896	      28	      01	      16	     568	    2558
		        	        	      01	      17	    1709	    7591
		        	        	      01	      18	      91	     445
		183927.344	      28	      05	      38	    1579	    2960
		        	        	      05	      39	    1055	    1043
		189704.048	      29	      00	      01	     693	    2966
		191541.272	      30	      00	      21	     592	    2626
		186526.112	      30	      05	      02	     165	       0
		206163.800	      31	      00	      13	      78	     335
		        	        	      00	      14	    3007	    8017
