//************************************************
// File Format Version 3.2
// Janus Release 3.2.3
// Acquisition Mode: Spectroscopy
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Jun 12 18:14:42 2025 UTC
//************************************************
ATHAB 0005 12JUN2025 18:14:41 Pyramid 3.0 25.0 0.8 0.0 0.0 0.86 100
		Tstamp_us	   TrgID	     Brd	      Ch	      LG	      HG
		1278.888	       0	      00	      06	     976	    3417
		1822.624	       0	      01	      00	      71	     301
		3555.024	       0	      05	      45	     106	     370
		3178.088	       1	      00	      15	     903	    3188
		10896.568	       2	      00	      10	     147	     362
		        	        	      00	      11	     638	    2140
		11967.144	       2	      02	      07	     509	       0
		        	        	      02	      08	     814	     993
		13567.616	       2	      01	      21	     500	     967
		        	        	      01	      22	    1730	    3903
		14798.192	       3	      01	      14	    4848	    8044
		        	        	      01	      15	    3275	    8049
		14923.088	       3	      00	      05	     110	     356
		        	        	      00	      07	     383	    1424
		        	        	      00	      08	    2108	    7286
		        	        	      00	      09	     126	     358
		15117.728	       4	      01	      15	    1044	    2646
		        	        	      01	      16	    2503	    7236
		        	        	      01	      17	     591	    1509
		16153.664	       4	      00	      16	     135	     488
		        	        	      00	      17	    2454	    8034
		        	        	      00	      18	    1091	    3977
		        	        	      00	      19	      87	     304
		16473.208	       5	      00	      11	     227	     791
		        	        	      00	      12	    3791	    8131
		        	        	      00	      13	    2661	    8049
		        	        	      00	      24	     344	    1220
		        	        	      00	      25	     417	    1489
		28253.480	       5	      04	      01	       0	    1980
		26407.776	       6	      00	      10	     857	    2918
		31054.616	       6	      02	      10	    1195	    2631
		        	        	      02	      11	     250	       0
		32655.104	       6	      01	      16	    2883	    7981
		        	        	      01	      17	     399	     972
		        	        	      01	      22	    1956	    5374
		34010.600	       7	      00	      05	     391	    1277
		        	        	      00	      06	    2182	    7760
		        	        	      00	      07	     115	     374
		35484.176	       8	      00	      22	     873	    3099
		35881.792	       9	      00	      17	      90	     315
		        	        	      00	      20	      78	     391
		        	        	      00	      21	      72	     323
		        	        	      00	      24	      86	     319
		53639.344	      10	      00	      19	    1592	    5420
		53663.712	      11	      02	      23	     824	    1278
		54255.272	      11	      00	      03	     865	    2991
		55264.224	      11	      01	      32	     641	    1250
		        	        	      01	      33	    1128	    2152
		56619.736	      12	      00	      16	    3336	    8044
		        	        	      00	      17	     493	    1724
		57411.792	      13	      00	      12	     141	     475
		        	        	      00	      13	     588	    2180
		71864.320	      14	      00	      12	     642	    2207
		74471.616	      15	      00	      19	     955	    3316
		        	        	      00	      23	     242	     746
		78152.400	      15	      05	      00	      99	     557
		        	        	      05	      01	     110	     356
		        	        	      05	      02	      94	     515
		        	        	      05	      03	     113	     467
		        	        	      05	      04	      81	     411
		        	        	      05	      05	     105	     426
		        	        	      05	      06	      90	     375
		        	        	      05	      07	     101	     358
		        	        	      05	      08	      96	     356
		        	        	      05	      09	      76	     312
		        	        	      05	      10	      84	     306
		        	        	      05	      12	      96	     383
		        	        	      05	      13	     103	     422
		        	        	      05	      14	      77	     308
		        	        	      05	      15	      90	     362
		        	        	      05	      16	      89	     381
		        	        	      05	      17	      84	     343
		        	        	      05	      18	      92	     310
		        	        	      05	      19	      88	     343
		        	        	      05	      20	     114	     502
		        	        	      05	      21	     114	     536
		        	        	      05	      22	      93	     451
		        	        	      05	      23	      94	     464
		        	        	      05	      24	     113	     621
		        	        	      05	      25	      98	     639
		        	        	      05	      26	      81	     544
		        	        	      05	      27	      99	     549
		        	        	      05	      28	     110	     525
